po,reg,ibm,account_code,account_name,user,trn_date,trn_time,modes,lines_in_txn,before_qty_total,after_qty_total,net_cancelled_qty,net_cancelled_value,category,source_file,ingested_at
2593132,9834195,7786284,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:45:27,DLT-Y,1,300,0,300,3840.0,Full deletion,sample_report.pdf,2026-07-28T19:03:19
2593132,9834195,7786287,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:45:46,DLT-Y,1,204,0,204,2611.2,Full deletion,sample_report.pdf,2026-07-28T19:03:19
2593133,9834196,7786288,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:45:55,DLT-Y,1,588,0,588,7526.4,Full deletion,sample_report.pdf,2026-07-28T19:03:19
2593133,9834196,7786290,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:45:57,DLT-Y,1,408,0,408,5222.4,Full deletion,sample_report.pdf,2026-07-28T19:03:19
2595842,9845672,7897402,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:46:10,DLT-Y,1,300,0,300,3840.0,Full deletion,sample_report.pdf,2026-07-28T19:03:19
2595842,9845672,7897404,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:46:12,DLT-Y,1,204,0,204,2611.2,Full deletion,sample_report.pdf,2026-07-28T19:03:19
248811,9847500,7924017,D010M,"DTLR, INC. -     (EDI)",OEKAREN,7/22/26,12:56:25,DLT-C,1,3888,0,3888,24494.4,Full deletion,sample_report.pdf,2026-07-28T19:03:19
0417313-16,9853318,7982515,K413M,KIDS FOOT LOCKER,OEANGELAD,7/22/26,10:57:39,,1,0,96,0,0.0,"Net addition (new units, not a cancellation)",sample_report.pdf,2026-07-28T19:03:19
0417166-16,9853862,7996864,K413M,KIDS FOOT LOCKER,OEANGELAD,7/22/26,10:56:15,CHG,1,1476,1464,12,288.6,Partial reduction,sample_report.pdf,2026-07-28T19:03:19
0417185-16,9853865,7996867,K413M,KIDS FOOT LOCKER,OEANGELAD,7/22/26,10:56:38,CHG,1,1566,1560,6,155.4,Partial reduction,sample_report.pdf,2026-07-28T19:03:19
0416933-16,9854021,7997658,K413M,KIDS FOOT LOCKER,OEANGELAD,7/22/26,10:55:33,CHG,1,2466,2460,6,144.3,Partial reduction,sample_report.pdf,2026-07-28T19:03:19
2599601,9870576,8108213,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:46:23,DLT-Y,2,300,0,300,3840.0,Full deletion,sample_report.pdf,2026-07-28T19:03:19
2599601,9870576,8108214,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:46:26,DLT-Y,1,204,0,204,2611.2,Full deletion,sample_report.pdf,2026-07-28T19:03:19
2599602,9870577,8108215,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:46:35,DLT-Y,1,600,0,600,7680.0,Full deletion,sample_report.pdf,2026-07-28T19:03:19
2599602,9870577,8108216,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:46:40,DLT-Y,1,396,0,396,5068.8,Full deletion,sample_report.pdf,2026-07-28T19:03:19
2601863,9878242,8192167,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:46:46,DLT-Y,1,300,0,300,3840.0,Full deletion,sample_report.pdf,2026-07-28T19:03:19
2601863,9878242,8192170,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:46:51,DLT-Y,1,204,0,204,2611.2,Full deletion,sample_report.pdf,2026-07-28T19:03:19
2601864,9878243,8192171,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:47:31,DLT-Y,1,300,0,300,3840.0,Full deletion,sample_report.pdf,2026-07-28T19:03:19
2601864,9878243,8192183,F003M,CALERES DBA FAMOUS FOOTWEAR,OEJASONC,7/22/26,11:47:37,DLT-Y,1,204,0,204,2611.2,Full deletion,sample_report.pdf,2026-07-28T19:03:19
